3y ago,today,Intercept,b,c
2015-07-13,2018-07-12,-11.43591,0.5842285,-0.851422
2015-07-14,2018-07-13,-12.395816,0.5872889,-0.8535393
2015-07-15,2018-07-14,-10.45398,0.5692545,-0.8356759
2015-07-16,2018-07-15,-10.759092,0.5696009,-0.8358086
2015-07-17,2018-07-16,-9.926738,0.5659688,-0.8314937
2015-07-18,2018-07-17,-9.933259,0.5657907,-0.8309688
2015-07-19,2018-07-18,-9.92742,0.565576,-0.8305133
2015-07-20,2018-07-19,-9.921712,0.5653652,-0.8300645
2015-07-21,2018-07-20,-10.314149,0.5659087,-0.830498
2015-07-22,2018-07-21,-10.110913,0.5655415,-0.8299558
2015-07-23,2018-07-22,-9.947453,0.5652133,-0.8293772
2015-07-24,2018-07-23,-9.609531,0.5640277,-0.8273192
2015-07-25,2018-07-24,-9.682558,0.5640525,-0.8271608
2015-07-26,2018-07-25,-9.67659,0.5638668,-0.826762
2015-07-27,2018-07-26,-9.67076,0.5636846,-0.8263692
2015-07-28,2018-07-27,-10.236101,0.5649117,-0.8278048
2015-07-29,2018-07-28,-10.139283,0.5647556,-0.8275119
2015-07-30,2018-07-29,-10.823459,0.5662836,-0.828857
2015-07-31,2018-07-30,-11.035289,0.5665118,-0.8286317
2015-08-01,2018-07-31,-10.886871,0.5661067,-0.8280139
2015-08-02,2018-08-01,-10.885485,0.565968,-0.8276566
2015-08-03,2018-08-02,-10.884183,0.565831,-0.8273026
2015-08-04,2018-08-03,-11.307789,0.5666067,-0.8274839
2015-08-05,2018-08-04,-11.028975,0.5659525,-0.8269416
2015-08-06,2018-08-05,-10.83913,0.565568,-0.8265801
2015-08-07,2018-08-06,-11.055541,0.5658631,-0.8264451
2015-08-08,2018-08-07,-11.793144,0.5678983,-0.8276718
2015-08-09,2018-08-08,-11.794047,0.5677877,-0.8273391
2015-08-10,2018-08-09,-11.794744,0.5676742,-0.8270024
2015-08-11,2018-08-10,-11.279435,0.5658763,-0.8252734
2015-08-12,2018-08-11,-11.123737,0.5655093,-0.8249344
2015-08-13,2018-08-12,-10.395528,0.5629765,-0.8225903
2015-08-14,2018-08-13,-10.406477,0.5628855,-0.8222019
