date,Intercept,beta1,beta2
16632,-6.255703,-1.1439302,1.2749051
16633,-5.708646,-1.098849,1.1987464
16634,-5.708798,-1.0991858,1.1986038
16635,-5.703993,-1.0990376,1.1981075
16636,-5.698948,-1.0988918,1.197616
16637,-5.944294,-1.121099,1.2340502
16638,-5.810519,-1.1093002,1.2140777
16639,-5.702794,-1.0994059,1.1973805
16640,-5.480406,-1.0784555,1.1626546
16641,-5.523526,-1.083017,1.1693678
16642,-5.518587,-1.0828385,1.168833
16643,-5.513847,-1.0826627,1.1683035
16644,-5.870421,-1.1150378,1.2216975
16645,-5.804854,-1.1093074,1.211782
16646,-6.245683,-1.1441518,1.2710298
16647,-6.385385,-1.1543002,1.2877177
16648,-6.28282,-1.1469574,1.2744885
16649,-6.282211,-1.1469523,1.2742273
16650,-6.281802,-1.1469517,1.2739747
16651,-6.568248,-1.1664106,1.307042
16652,-6.372554,-1.153291,1.2840395
16653,-6.240587,-1.143864,1.267552
16654,-6.385525,-1.1541756,1.2844982
16655,-6.90044,-1.1853285,1.3392614
16656,-6.903987,-1.1854321,1.3391878
16657,-6.907789,-1.1855433,1.339128
16658,-6.533875,-1.1633159,1.2996096
16659,-6.421605,-1.1559733,1.2865302
16660,-5.915196,-1.1198457,1.2250864
16661,-5.920178,-1.1203344,1.2252078
16662,-5.925241,-1.1208313,1.2253428
16663,-5.925241,-1.1208313,1.2253428
16664,-5.924279,-1.1208197,1.2250825
16665,-6.037769,-1.1296793,1.2392209
16666,-6.044522,-1.1301992,1.2396388
16667,-5.91389,-1.1201246,1.2224089
16668,-5.62609,-1.0966787,1.1831622
16669,-5.05055,-1.0454765,1.0997847
16670,-5.046276,-1.0452725,1.0992339
16671,-5.041999,-1.0450729,1.0986912
16672,-4.834678,-1.0236832,1.0644573
16673,-5.084781,-1.0496325,1.1052866
16674,-5.136414,-1.0548156,1.113089
16675,-5.401489,-1.0799273,1.1530746
16676,-5.379307,-1.0780686,1.1494008
16677,-5.376867,-1.0779917,1.14905
16678,-5.374349,-1.0779207,1.1487097
16679,-5.149195,-1.0571069,1.1147491
16680,-5.400359,-1.080491,1.1521248
16681,-5.226609,-1.0645511,1.1261057
16682,-5.154027,-1.0578205,1.1147041
16683,-4.983065,-1.0412233,1.0877709
16684,-4.979601,-1.0410634,1.0873018
16685,-4.976026,-1.0409092,1.0868423
16686,-5.025739,-1.0461624,1.0944904
16687,-5.277829,-1.0702498,1.1327278
16688,-5.180088,-1.0611434,1.1177282
