date,Intercept,beta1,beta2
16632,-13.639647,0.5978431,-0.8508938
16633,-13.852711,0.6016564,-0.8563698
16634,-13.262548,0.590337,-0.8395665
16635,-13.242659,0.5902509,-0.8393542
16636,-13.222831,0.5901652,-0.8391427
16637,-13.388979,0.5935815,-0.8440915
16638,-13.029766,0.5858792,-0.8324995
16639,-13.383372,0.5931937,-0.8433505
16640,-13.180771,0.5892093,-0.8372027
16641,-12.603401,0.5757716,-0.8171238
16642,-12.583872,0.5757053,-0.8169571
16643,-12.564407,0.5756396,-0.8167915
16644,-12.495098,0.5740683,-0.814255
16645,-12.466277,0.5730771,-0.8126592
16646,-11.376574,0.5359922,-0.7601201
16647,-12.380205,0.5727443,-0.8119007
16648,-11.882049,0.5588631,-0.7913015
16649,-11.8631,0.5588245,-0.7911872
16650,-11.844217,0.5587865,-0.791074
16651,-12.362528,0.5743928,-0.8138589
16652,-12.396848,0.5749825,-0.8146461
16653,-11.892943,0.5607237,-0.7936425
16654,-11.927988,0.5619435,-0.7953032
16655,-11.963222,0.5631485,-0.7969417
16656,-11.944385,0.5631088,-0.7968242
16657,-11.925612,0.5630697,-0.7967075
16658,-11.835938,0.5607788,-0.7931556
16659,-11.723023,0.5573019,-0.7879105
16660,-12.183627,0.5705113,-0.8072231
16661,-12.17777,0.5705301,-0.8070942
16662,-11.631495,0.5552221,-0.784651
16663,-11.631495,0.5552221,-0.784651
16664,-11.612998,0.5551951,-0.7845579
16665,-11.354952,0.5478571,-0.7736488
16666,-10.478353,0.5164914,-0.7298831
16667,-10.509393,0.5172419,-0.7308641
16668,-10.060215,0.5041947,-0.7123362
16669,-9.652524,0.4936703,-0.6974627
16670,-9.63599,0.4936943,-0.6974616
16671,-9.619517,0.4937186,-0.6974609
16672,-10.546901,0.530402,-0.7470214
16673,-10.537363,0.5299139,-0.7462163
16674,-11.34782,0.5599896,-0.7884432
16675,-11.910415,0.5773363,-0.8134936
16676,-11.428851,0.5642409,-0.794214
16677,-11.41081,0.5642218,-0.7941313
16678,-11.392828,0.564203,-0.7940491
16679,-10.787595,0.5451331,-0.766626
16680,-10.778376,0.544601,-0.7657614
16681,-11.211181,0.5585128,-0.7857514
16682,-10.974339,0.5516561,-0.7756278
16683,-10.926936,0.5504917,-0.7737922
16684,-10.909399,0.5504913,-0.7737439
16685,-10.891921,0.5504912,-0.7736962
16686,-10.885917,0.5505902,-0.773702
16687,-11.402279,0.5668577,-0.7970246
16688,-11.393445,0.5663477,-0.796186
16689,-10.980779,0.554464,-0.7788537
16690,-10.807483,0.549511,-0.7715333
16691,-10.790163,0.5495148,-0.7714928
16692,-10.7729,0.5495189,-0.7714526
16693,-10.344997,0.5361893,-0.7523422
16694,-10.950952,0.5572744,-0.7820299
16695,-11.392546,0.5704754,-0.8009931
16696,-11.216364,0.5658788,-0.7941335
16697,-10.803514,0.5538451,-0.7766815
16698,-10.786322,0.5538492,-0.7766404
16699,-10.769188,0.5538534,-0.7765996
16700,-10.804854,0.5551977,-0.77841
16701,-10.732763,0.5527932,-0.7748442
16702,-10.384438,0.5416628,-0.758884
16703,-10.599173,0.5482255,-0.7682016
16704,-10.272363,0.5377435,-0.7532076
16705,-10.272363,0.5377435,-0.7532076
16706,-10.255683,0.5377649,-0.7531977
16707,-10.23906,0.5377865,-0.7531883
16708,-10.23906,0.5377865,-0.7531883
16709,-10.311238,0.5398234,-0.7560088
16710,-10.649762,0.551109,-0.7719552
16711,-10.972843,0.5613131,-0.7864675
16712,-10.972843,0.5613131,-0.7864675
16713,-10.955621,0.5613101,-0.7864139
16714,-11.713268,0.5848243,-0.8192491
16715,-11.76996,0.5858057,-0.8206027
16716,-11.892693,0.5881401,-0.8239378
16717,-11.575197,0.5813308,-0.8138725
16718,-11.575197,0.5813308,-0.8138725
16719,-11.557521,0.5813016,-0.8137698
16720,-11.539903,0.5812724,-0.8136672
16721,-11.16028,0.5719305,-0.8000433
16722,-11.342927,0.5764231,-0.8064692
16723,-11.506225,0.5801478,-0.8117964
16724,-11.214903,0.5731577,-0.8015404
16725,-11.05814,0.569251,-0.7957511
16726,-11.040993,0.569243,-0.7956883
16727,-11.023903,0.569235,-0.7956257
16728,-10.997358,0.5687239,-0.7947508
16729,-10.097021,0.5369941,-0.7513826
16730,-9.372325,0.5106204,-0.7158977
16731,-9.427661,0.5126391,-0.7185556
16732,-9.742984,0.523178,-0.732928
16733,-9.727225,0.5232146,-0.7329429
16734,-9.711519,0.5232513,-0.732958
16735,-9.391845,0.5136049,-0.7196214
16736,-9.109634,0.5050609,-0.7079228
16737,-9.118986,0.505243,-0.7080812
16738,-8.800361,0.4967706,-0.6965674
16739,-9.362635,0.5160762,-0.7221946
16740,-9.347398,0.5161201,-0.722222
16741,-9.332213,0.5161641,-0.7222496
16742,-9.223854,0.5133398,-0.7182471
16743,-9.514608,0.5223271,-0.7304963
16744,-9.545099,0.5231054,-0.7314861
16745,-8.918781,0.5021112,-0.7034768
16746,-8.933654,0.5029051,-0.7044354
16747,-8.919019,0.5029544,-0.7044723
16748,-8.904433,0.5030037,-0.7045094
16749,-8.858209,0.5021314,-0.7032054
16750,-8.805933,0.5006838,-0.7011525
16751,-8.6916,0.4976765,-0.6970014
16752,-8.867168,0.5027469,-0.7037457
16753,-8.591388,0.4957378,-0.6942409
16754,-8.577265,0.4957877,-0.6942805
16755,-8.563191,0.4958377,-0.6943204
16756,-8.598347,0.4970813,-0.6958808
16757,-8.586756,0.4967856,-0.6953891
16758,-8.855658,0.5040191,-0.7050551
16759,-8.768082,0.5020814,-0.702308
16760,-8.618345,0.4986144,-0.6975106
16761,-8.604262,0.4986647,-0.6975516
16762,-8.590227,0.4987151,-0.6975927
16763,-8.399546,0.4944443,-0.6917463
16764,-9.069514,0.5179497,-0.7224325
16765,-9.422079,0.5289043,-0.7373226
16766,-9.099861,0.5195583,-0.724433
16767,-8.928328,0.5150186,-0.7181105
16768,-8.913954,0.5150697,-0.7181512
16769,-8.899631,0.5151208,-0.7181919
