date,intercept,beta1,beta2
16632,-107.25022,0.5341179,-0.759295
16633,-105.03142,0.5322127,-0.7568861
16634,-106.47792,0.533514,-0.7583326
16635,-106.43038,0.5335543,-0.7583263
16636,-106.38231,0.5335942,-0.7583196
16637,-110.68724,0.5382464,-0.7638382
16638,-103.247,0.530893,-0.7549776
16639,-98.04411,0.5287082,-0.7524091
16640,-103.31717,0.5310845,-0.7550376
16641,-100.24193,0.5296545,-0.7532502
16642,-100.18278,0.529692,-0.753243
16643,-100.12354,0.5297294,-0.7532359
16644,-97.55088,0.529284,-0.7526301
16645,-102.03222,0.5308308,-0.7543433
16646,-103.51374,0.5317002,-0.7553083
16647,-89.02566,0.5252805,-0.7479685
16648,-84.34369,0.5304614,-0.7538372
16649,-84.26217,0.5304366,-0.7537484
16650,-84.18124,0.5304139,-0.7536628
16651,-88.02813,0.52597,-0.7484206
16652,-87.34058,0.5268726,-0.7493979
16653,-85.87461,0.52879,-0.7515391
16654,-89.81699,0.5251336,-0.7471722
16655,-83.05969,0.5316706,-0.7545157
16656,-82.9793,0.53165,-0.7544356
16657,-82.89941,0.5316312,-0.7543584
16658,-82.15943,0.5329758,-0.7557404
16659,-85.29177,0.5286217,-0.7507628
16660,-85.39256,0.528731,-0.7508156
16661,-85.41664,0.5288406,-0.7508174
16662,-85.44108,0.5289522,-0.7508224
16663,-85.44108,0.5289522,-0.7508224
16664,-85.36462,0.5289542,-0.7507748
16665,-84.99598,0.5295702,-0.7513536
16666,-80.81865,0.5359674,-0.7584134
16667,-84.319,0.5306329,-0.7524089
16668,-78.17707,0.54027,-0.7628132
16669,-80.76202,0.5351651,-0.7571225
16670,-80.6825,0.5351488,-0.7570536
16671,-80.60334,0.5351338,-0.7569869
16672,-78.73611,0.5388846,-0.7609769
16673,-86.37999,0.5289399,-0.7499969
16674,-84.87292,0.5309817,-0.7522431
16675,-88.11018,0.5276468,-0.7483397
16676,-88.14236,0.5277814,-0.7483788
16677,-88.06797,0.5277989,-0.7483536
16678,-87.99351,0.5278159,-0.7483279
16679,-73.66265,0.5306792,-0.7488831
16680,-74.45703,0.529259,-0.7473658
16681,-66.83146,0.5402691,-0.756469
16682,-63.58832,0.5481447,-0.7633252
16683,-67.6545,0.5392297,-0.7557017
16684,-67.5725,0.5392009,-0.7556319
16685,-67.49094,0.5391742,-0.755565
16686,-65.183,0.545466,-0.7614316
16687,-68.80946,0.5368122,-0.7533793
16688,-68.88987,0.5369762,-0.7535049
16689,-69.56641,0.5353178,-0.7517781
16690,-70.25171,0.5336889,-0.7500672
16691,-70.17191,0.5336781,-0.7500198
16692,-70.09246,0.5336689,-0.7499748
16693,-67.34863,0.5407909,-0.7569099
16694,-66.75998,0.5428566,-0.7588979
16695,-65.18393,0.5477916,-0.7636179
16696,-67.79133,0.540801,-0.756896
16697,-66.44585,0.5448074,-0.7607651
16698,-66.36659,0.544795,-0.7607202
16699,-66.2877,0.5447843,-0.7606777
16700,-65.29199,0.5479125,-0.7636599
16701,-61.45549,0.5586887,-0.7734107
16702,-65.60091,0.5483589,-0.7643116
16703,-66.34001,0.5464526,-0.7623965
16704,-65.41745,0.5498099,-0.7656872
16705,-65.41745,0.5498099,-0.7656872
16706,-65.33877,0.5498007,-0.765648
16707,-65.26044,0.549793,-0.765611
16708,-65.26044,0.549793,-0.765611
16709,-69.32778,0.5391439,-0.7552094
16710,-68.2883,0.5423798,-0.7584489
16711,-68.63689,0.541517,-0.7574972
16712,-68.63689,0.541517,-0.7574972
16713,-68.55941,0.5415199,-0.7574718
16714,-67.52502,0.5448271,-0.760774
16715,-66.23715,0.5493104,-0.7652648
16716,-69.37041,0.5406123,-0.7565058
16717,-68.32317,0.5439273,-0.7598462
16718,-68.32317,0.5439273,-0.7598462
16719,-68.24605,0.5439325,-0.7598247
16720,-68.16923,0.5439387,-0.7598048
16721,-68.52208,0.5430606,-0.7588343
16722,-71.4195,0.5355629,-0.7510729
16723,-70.41936,0.5386824,-0.7542878
16724,-70.42764,0.5388606,-0.7544002
16725,-68.64586,0.5441888,-0.759852
16726,-68.56948,0.5441989,-0.7598378
16727,-68.49336,0.5442098,-0.7598246
16728,-67.79669,0.5465628,-0.7621837
16729,-61.34221,0.5622676,-0.7764979
16730,-60.45262,0.5661723,-0.7802869
16731,-64.59477,0.5539401,-0.7688741
16732,-65.27125,0.5517341,-0.7665756
16733,-65.19608,0.5517507,-0.7665729
16734,-65.12119,0.551768,-0.7665715
16735,-63.09131,0.5593509,-0.7742054
16736,-62.50396,0.5621464,-0.7769963
16737,-64.56085,0.555103,-0.7699078
16738,-65.24234,0.5528525,-0.767553
16739,-62.86098,0.561828,-0.776622
16740,-62.78695,0.5618478,-0.7766259
16741,-62.71319,0.5618685,-0.776631
16742,-64.04613,0.557042,-0.7716961
16743,-79.53035,0.5521604,-0.7711698
16744,-81.27305,0.5480947,-0.7664219
16745,-81.71452,0.5472026,-0.7652714
16746,-80.48825,0.5503635,-0.7687977
16747,-80.41087,0.5503405,-0.7687262
16748,-80.33346,0.5503167,-0.7686535
16749,-77.88867,0.5571894,-0.7764138
16750,-78.79676,0.5549405,-0.77377
16751,-82.5944,0.5459775,-0.763377
16752,-83.04193,0.5451448,-0.7622863
16753,-80.5316,0.5511502,-0.7691198
16754,-80.45301,0.5511219,-0.7690417
16755,-80.37434,0.5510928,-0.7689626
16756,-78.74249,0.555664,-0.7741005
16757,-82.96248,0.5457984,-0.7626404
16758,-80.94996,0.5508565,-0.7684352
16759,-86.44661,0.5401541,-0.7558164
16760,-86.90701,0.5395087,-0.7549252
16761,-86.82029,0.5394715,-0.7548305
16762,-86.73329,0.5394341,-0.7547357
16763,-83.70857,0.5451112,-0.7612999
16764,-86.82001,0.5397103,-0.7548613
16765,-84.74571,0.5437575,-0.7595613
16766,-91.71594,0.5345067,-0.748377
16767,-90.38343,0.5361671,-0.7502517
16768,-90.28876,0.5361297,-0.7501554
16769,-90.19374,0.5360924,-0.7500596
16770,-88.43018,0.5385837,-0.7529187
16771,-84.13957,0.546131,-0.7617778
16772,-88.12867,0.5395177,-0.7538821
16773,-85.50675,0.5440535,-0.7591317
16774,-88.13244,0.5397446,-0.7538987
16775,-88.03844,0.5397055,-0.7538025
16776,-87.94417,0.5396664,-0.7537066
16777,-89.7192,0.5372642,-0.7507066
16778,-77.94724,0.5543328,-0.7705575
16779,-92.19387,0.5390234,-0.7522242
16780,-88.16169,0.5443392,-0.7584443
16781,-87.73674,0.5451471,-0.7592756
16782,-87.64038,0.5451109,-0.7591833
16783,-87.54379,0.5450747,-0.7590913
16784,-79.72177,0.5605626,-0.7770808
16785,-84.84097,0.5490255,-0.7635649
16786,-87.5423,0.5443714,-0.758001
16787,-83.1854,0.5528932,-0.7679002
16788,-85.33603,0.548385,-0.7624924
16789,-85.24124,0.5483473,-0.7624004
16790,-85.14628,0.5483096,-0.7623085
16791,-83.86821,0.5511173,-0.765481
16792,-86.54538,0.5461518,-0.7595659
16793,-81.88216,0.5562274,-0.7713005
16794,-77.27001,0.5696192,-0.7866562
16795,-77.27001,0.5696192,-0.7866562
16796,-77.18591,0.5695759,-0.7865626
16797,-77.10174,0.5695323,-0.7864687
16798,-78.74679,0.5642814,-0.7803022
16799,-80.91498,0.5584205,-0.7734399
16800,-73.52218,0.581701,-0.8000334
16801,-73.52218,0.581701,-0.8000334
16802,-73.52218,0.581701,-0.8000334
16803,-73.44203,0.5816577,-0.7999433
16804,-73.36185,0.581614,-0.7998527
16805,-81.33627,0.5582445,-0.7729433
16806,-80.60037,0.5607321,-0.7757604
16807,-86.1587,0.5485668,-0.7614501
16808,-85.30338,0.5504273,-0.7635154
16809,-86.60205,0.5479304,-0.7604561
16810,-86.49953,0.5478944,-0.7603678
16811,-86.39692,0.5478584,-0.7602796
