date,intercept,beta1,beta2
16632,-13.19843,-0.4432411,0.6734475
16633,-12.60869,-0.4508816,0.6827857
16634,-12.92709,-0.4472125,0.6782347
16635,-12.96023,-0.4467897,0.6777197
16636,-12.99814,-0.4465254,0.6774505
16637,-13.01681,-0.4499887,0.6825434
16638,-14.39113,-0.4249176,0.6517278
16639,-13.24075,-0.4477553,0.6800942
16640,-12.96352,-0.4497541,0.6818883
16641,-12.73032,-0.4506786,0.6824437
16642,-12.76764,-0.4486119,0.6796322
16643,-12.79474,-0.4466402,0.6769158
16644,-13.79105,-0.4262643,0.6500799
16645,-12.83915,-0.444384,0.6737467
16646,-15.60527,-0.3655496,0.5629887
16647,-17.74521,-0.3525909,0.5247608
16648,-14.85088,-0.3798897,0.5849822
16649,-14.82069,-0.3780605,0.5819948
16650,-14.78708,-0.3768266,0.579898
16651,-16.5691,-0.3443094,0.5223747
16652,-16.44595,-0.3435772,0.5226605
16653,-15.93642,-0.3464941,0.5312327
16654,-15.33428,-0.3578329,0.5505823
16655,-15.68532,-0.3524184,0.5403356
16656,-15.62512,-0.3543574,0.5429592
16657,-15.56746,-0.3563724,0.5457229
16658,-14.4617,-0.3759041,0.5780211
16659,-14.40078,-0.3778761,0.5809453
16660,-12.85435,-0.4157156,0.6346909
16661,-12.8596,-0.4143915,0.6326908
16662,-12.86347,-0.4131847,0.6308553
16663,-12.86347,-0.4131847,0.6308553
16664,-12.84941,-0.4119601,0.6290661
16665,-13.00766,-0.4076042,0.622943
16666,-13.18086,-0.4042756,0.6182861
16667,-12.64743,-0.4158395,0.6339836
16668,-12.3415,-0.4205535,0.6400258
16669,-11.28963,-0.4335965,0.6560421
16670,-11.28786,-0.4325905,0.6546707
16671,-11.28525,-0.4316087,0.65333
16672,-10.18583,-0.4358223,0.6565934
16673,-11.77904,-0.4177263,0.6360491
16674,-12.45654,-0.4064694,0.6213542
16675,-12.38513,-0.4071519,0.6221164
16676,-11.58328,-0.4183736,0.6364692
16677,-11.57563,-0.4175068,0.6352691
16678,-11.56744,-0.4166869,0.6341324
16679,-11.43385,-0.4177553,0.6352949
16680,-10.55252,-0.4249731,0.6434495
16681,-10.36834,-0.4257704,0.6440609
16682,-10.64335,-0.4242211,0.6424532
16683,-11.05528,-0.4205032,0.6381371
16684,-11.04893,-0.4197912,0.6371691
16685,-11.04237,-0.4191043,0.636234
16686,-10.98341,-0.4192294,0.6362166
16687,-11.40162,-0.4150524,0.6311449
16688,-13.19831,-0.383578,0.5898924
16689,-13.05798,-0.3857609,0.5929153
16690,-13.41276,-0.383175,0.5890309
16691,-13.39697,-0.3840001,0.5901774
16692,-13.38126,-0.3848033,0.5912967
16693,-13.24178,-0.3865842,0.5937989
16694,-13.54023,-0.3850523,0.5914296
16695,-13.84065,-0.3840442,0.5897141
16696,-12.70407,-0.3916127,0.600732
16697,-12.98669,-0.3898116,0.598164
16698,-12.97523,-0.3902679,0.598789
16699,-12.96479,-0.3907411,0.5994401
16700,-14.2554,-0.3850271,0.5910912
16701,-13.31889,-0.3867718,0.5941873
16702,-14.27493,-0.3838657,0.5895642
16703,-13.84883,-0.3843012,0.5905307
16704,-14.82768,-0.3831734,0.5880202
16705,-14.82768,-0.3831734,0.5880202
16706,-14.8181,-0.3832205,0.5881048
16707,-14.80528,-0.3832144,0.5881054
16708,-14.80528,-0.3832144,0.5881054
16709,-15.12436,-0.3829073,0.5871269
16710,-16.00274,-0.379776,0.58046
16711,-16.59562,-0.3777212,0.5747019
16712,-16.59562,-0.3777212,0.5747019
16713,-16.53489,-0.3776305,0.5744544
16714,-16.10511,-0.3782759,0.577219
16715,-16.19011,-0.378216,0.5767756
16716,-15.94191,-0.3790187,0.5790134
16717,-15.29756,-0.380838,0.5834765
16718,-15.29756,-0.380838,0.5834765
16719,-15.26069,-0.3806565,0.5831703
16720,-15.22258,-0.3804815,0.5828693
16721,-15.65298,-0.3784914,0.5784006
16722,-16.38765,-0.3764331,0.5716031
16723,-17.25305,-0.3776979,0.5647066
16724,-16.86847,-0.3746893,0.5642352
16725,-17.39485,-0.3700043,0.5468176
16726,-17.3257,-0.3665847,0.5411604
16727,-17.26411,-0.3638578,0.536607
16728,-17.77529,-0.3623072,0.5179913
16729,-17.50183,-0.3604561,0.5242168
16730,-17.40805,-0.3604418,0.5272495
16731,-18.11987,-0.3676757,0.5137358
