date,intercept,beta1,beta2,
16632,-15.06328,0.5745468,-0.8341566,
16633,-14.54949,0.5684334,-0.8230319,
16634,-14.83788,0.5715538,-0.828417,
16635,-14.86112,0.5716903,-0.8286331,
16636,-14.89117,0.5715413,-0.8284097,
16637,-14.91611,0.5672343,-0.8212856,
16638,-15.99755,0.5868788,-0.8526576,
16639,-15.11557,0.5687918,-0.8237822,
16640,-14.92204,0.5703337,-0.8248184,
16641,-14.70269,0.5716408,-0.8257392,
16642,-14.70389,0.5749113,-0.8304772,
16643,-14.69533,0.5776262,-0.8344599,
16644,-15.47918,0.5949439,-0.863699,
16645,-14.71149,0.5806861,-0.8387674,
16646,-16.92774,0.6294592,-0.9267445,
16647,-18.7533,0.600481,-0.9134151,
16648,-16.32322,0.619401,-0.9077951,
16649,-16.26826,0.6198248,-0.9089057,
16650,-16.20792,0.6198399,-0.9093834,
16651,-17.6808,0.6125791,-0.9210875,
16652,-17.5706,0.6159374,-0.9238412,
16653,-17.12861,0.6231297,-0.9270535,
16654,-16.60459,0.6229622,-0.9202813,
16655,-16.88346,0.6190735,-0.9196485,
16656,-16.81802,0.6163001,-0.9158843,
16657,-16.75536,0.6134963,-0.9120355,
16658,-15.81195,0.6166699,-0.9045409,
16659,-15.76728,0.6166504,-0.9036133,
16660,-14.53804,0.6033109,-0.8719019,
16661,-14.52186,0.6044477,-0.8735869,
16662,-14.50591,0.6054139,-0.8750243,
16663,-14.50591,0.6054139,-0.8750243,
16664,-14.47246,0.6060241,-0.8760493,
16665,-14.58552,0.6078391,-0.8798734,
16666,-14.73082,0.6090852,-0.8827837,
16667,-14.30154,0.6053442,-0.8732467,
16668,-14.03455,0.6040081,-0.8692159,
16669,-13.1249,0.5996035,-0.8563216,
16670,-13.10592,0.6006672,-0.8578234,
16671,-13.08672,0.6016496,-0.8592132,
16672,-12.07198,0.6058148,-0.8577846,
16673,-13.50919,0.6068253,-0.8692436,
16674,-14.08262,0.6095356,-0.877813,
16675,-14.01086,0.609698,-0.8774678,
16676,-13.32245,0.6082794,-0.8695508,
16677,-13.29991,0.608838,-0.8703728,
16678,-13.27743,0.609326,-0.8710959,
16679,-13.15167,0.610022,-0.8709723,
16680,-12.3761,0.6126465,-0.868152,
16681,-12.21033,0.6143624,-0.8689739,
16682,-12.45223,0.6133714,-0.8694175,
16683,-12.8109,0.6124164,-0.8709444,
16684,-12.79307,0.6129049,-0.8716329,
16685,-12.77588,0.613343,-0.8722518,
16686,-12.7164,0.6142419,-0.8728983,
16687,-13.08917,0.6129195,-0.8740843,
16688,-14.66729,0.6066823,-0.8802407,
16689,-14.54211,0.6071149,-0.8794741,
16690,-14.85618,0.6009833,-0.8740986,
16691,-14.83671,0.5994142,-0.8719008,
16692,-14.81755,0.5979052,-0.8697828,
16693,-14.69202,0.5988973,-0.8697993,
16694,-14.96369,0.5942521,-0.8657535,
16695,-15.23944,0.5890756,-0.86094,
16696,-14.2229,0.6054047,-0.87371,
16697,-14.47867,0.6004915,-0.8692773,
16698,-14.46947,0.5992795,-0.8675924,
16699,-14.46109,0.5980806,-0.865922,
16700,-15.66236,0.5747077,-0.843907,
16701,-14.79847,0.5917861,-0.8599431,
