3년전,오늘,Intercept,beta1,beta2
2015-07-13,2018-07-12,-6.151,0.6619,-1.0865
2015-07-14,2018-07-13,-6.079,0.704,-1.167
2015-07-17,2018-07-16,-5.8446,0.4813,-0.8269
2015-07-18,2018-07-17,-5.8414,0.4815,-0.827
2015-07-19,2018-07-18,-5.832,0.4815,-0.8271
2015-07-20,2018-07-19,-5.8227,0.4816,-0.8271
2015-07-21,2018-07-20,-5.8237,0.5077,-0.8653
2015-07-24,2018-07-23,-5.7741,0.4637,-0.8017
2015-07-25,2018-07-24,-5.7773,0.4671,-0.8062
2015-07-26,2018-07-25,-5.7681,0.4672,-0.8063
2015-07-27,2018-07-26,-5.7588,0.4672,-0.8063
2015-07-28,2018-07-27,-5.7687,0.5032,-0.8575
2015-07-31,2018-07-30,-5.7526,0.5568,-0.9396
2015-08-01,2018-07-31,-5.7596,0.5477,-0.9245
2015-08-02,2018-08-01,-5.7418,0.5477,-0.9244
2015-08-03,2018-08-02,-5.733,0.5477,-0.9243
2015-08-04,2018-08-03,-5.7181,0.5706,-0.9623
2015-08-07,2018-08-06,-5.7235,0.5558,-0.9367
2015-08-08,2018-08-07,-5.694,0.593,-1
2015-08-09,2018-08-08,-5.686,0.5929,-0.9998
2015-08-10,2018-08-09,-5.6782,0.5928,-0.9996
2015-08-11,2018-08-10,-5.6661,0.571,-0.9599
