date,Intercept,beta1,beta2
2018-07-12,-7.149306227,-1.305157235,2.015734618
2018-07-13,-6.810112267,-1.275246555,1.926783256
2018-07-14,-6.879195269,-1.33135438,2.026594444
2018-07-15,-6.897346667,-1.335532326,2.034977248
2018-07-16,-6.935475674,-1.345965528,2.058225051
2018-07-17,-6.791611858,-1.318943435,1.99676781
2018-07-18,-6.791611858,-1.318943435,1.99676781
2018-07-19,-6.791611858,-1.318943435,1.99676781
2018-07-20,-6.82961133,-1.333735909,2.023872289
2018-07-21,-6.742640999,-1.303486126,1.967899736
2018-07-22,-6.805396186,-1.335345362,2.024691837
2018-07-23,-6.765429765,-1.319458151,1.995061854
2018-07-24,-6.617134147,-1.268547867,1.905971661
2018-07-25,-6.617134147,-1.268547867,1.905971661
2018-07-26,-6.617134147,-1.268547867,1.905971661
2018-07-27,-6.61254354,-1.261067379,1.894167042
2018-07-28,-6.612150055,-1.256037814,1.88631294
2018-07-29,-6.334045535,-1.183092518,1.769586401
2018-07-30,-6.341909829,-1.264961871,1.901237156
2018-07-31,-6.210003044,-1.225226761,1.836446514
2018-08-01,-6.210003044,-1.225226761,1.836446514
2018-08-02,-6.210003044,-1.225226761,1.836446514
2018-08-03,-6.296801199,-1.274498887,1.915512391
2018-08-04,-6.308912847,-1.276376647,1.918695894
2018-08-05,-6.152521415,-1.238221589,1.85383241
2018-08-06,-6.167318596,-1.242257107,1.86003951
2018-08-07,-6.182497453,-1.246272897,1.866272552
2018-08-08,-6.182497453,-1.246272897,1.866272552
2018-08-09,-6.182497453,-1.246272897,1.866272552
2018-08-10,-6.169639802,-1.238485402,1.854173016
2018-08-11,-6.148583272,-1.226736196,1.836283293
2018-08-12,-6.230711453,-1.268703036,1.902606943
2018-08-13,-6.237114933,-1.268752347,1.90268057
2018-08-14,-6.074588983,-1.229627476,1.837807622
2018-08-15,-6.074588983,-1.229627476,1.837807622
2018-08-16,-6.074588983,-1.229627476,1.837807622
2018-08-17,-6.027096394,-1.206789521,1.804155793
2018-08-18,-5.821942393,-1.154289929,1.729831294
2018-08-19,-5.828719851,-1.156283431,1.732368941
2018-08-20,-5.77346649,-1.115921619,1.68017914
2018-08-21,-5.716248577,-1.074185065,1.626210089
2018-08-22,-5.716248577,-1.074185065,1.626210089
2018-08-23,-5.716248577,-1.074185065,1.626210089
2018-08-24,-5.668637294,-1.139799107,1.714477968
2018-08-25,-5.671140703,-1.138046102,1.712170208
2018-08-26,-5.75250869,-1.1831259,1.779361568
2018-08-27,-5.909899576,-1.214587433,1.834355293
2018-08-28,-5.714012383,-1.195338491,1.797073037
2018-08-29,-5.714012383,-1.195338491,1.797073037
2018-08-30,-5.714012383,-1.195338491,1.797073037
2018-08-31,-5.491452777,-1.171388981,1.756687707
2018-09-01,-5.491819229,-1.170002265,1.754704011
2018-09-02,-5.593521464,-1.195746667,1.793684514
2018-09-03,-5.518823565,-1.183739301,1.774525618
2018-09-04,-5.512112631,-1.181256263,1.770784655
2018-09-05,-5.512112631,-1.181256263,1.770784655
2018-09-06,-5.512112631,-1.181256263,1.770784655
2018-09-07,-5.517713008,-1.181314225,1.770842419
2018-09-08,-5.6591906,-1.206612168,1.813178901
2018-09-09,-5.656852151,-1.205796489,1.811625875
2018-09-10,-5.49449658,-1.190886261,1.784227811
2018-09-11,-5.44384168,-1.181756519,1.770132304
2018-09-12,-5.44384168,-1.181756519,1.770132304
2018-09-13,-5.44384168,-1.181756519,1.770132304
2018-09-14,-5.311374697,-1.158639374,1.736493673
2018-09-15,-5.438621035,-1.189962199,1.784075967
2018-09-16,-5.590459433,-1.204971726,1.812958683
2018-09-17,-5.520124702,-1.200556877,1.803098902
2018-09-18,-5.34585472,-1.190119879,1.781630055
2018-09-19,-5.34585472,-1.190119879,1.781630055
2018-09-20,-5.34585472,-1.190119879,1.781630055
2018-09-21,-5.365939639,-1.192171829,1.784901044
2018-09-22,-5.340848116,-1.188365104,1.778700736
2018-09-23,-5.213535677,-1.171574138,1.752759124
2018-09-24,-5.274394521,-1.184572342,1.771504633
2018-09-25,-5.162301498,-1.166415909,1.74474829
2018-09-26,-5.162301498,-1.166415909,1.74474829
2018-09-27,-5.162301498,-1.166415909,1.74474829
2018-09-28,-5.162301498,-1.166415909,1.74474829
2018-09-29,-5.162301498,-1.166415909,1.74474829
2018-09-30,-5.183585911,-1.170947883,1.750967319
2018-10-01,-5.280248589,-1.191287286,1.780967603
2018-10-02,-5.398917738,-1.203775147,1.802929175
2018-10-03,-5.398917738,-1.203775147,1.802929175
2018-10-04,-5.398917738,-1.203775147,1.802929175
2018-10-05,-5.696861608,-1.195010316,1.814811177
2018-10-06,-5.724672937,-1.194844315,1.816002542
2018-10-07,-5.784637114,-1.193719777,1.818141491
2018-10-08,-5.620314226,-1.200172978,1.816412503
2018-10-09,-5.620314226,-1.200172978,1.816412503
2018-10-10,-5.620314226,-1.200172978,1.816412503
2018-10-11,-5.620314226,-1.200172978,1.816412503
2018-10-12,-5.420674701,-1.20527124,1.812030566
2018-10-13,-5.507618281,-1.206017245,1.817744594
2018-10-14,-5.587764334,-1.205628821,1.821780496
2018-10-15,-5.437530969,-1.209206925,1.817921783
2018-10-16,-5.36564476,-1.209023752,1.81364682
2018-10-17,-5.36564476,-1.209023752,1.81364682
2018-10-18,-5.36564476,-1.209023752,1.81364682
2018-10-19,-5.360915273,-1.208976229,1.813035216
2018-10-20,-4.858803545,-1.227308767,1.815724522
2018-10-21,-4.574653121,-1.184645043,1.751637473
2018-10-22,-4.591026058,-1.192580759,1.762115815
2018-10-23,-4.659812031,-1.228866207,1.811487191
2018-10-24,-4.659812031,-1.228866207,1.811487191
2018-10-25,-4.659812031,-1.228866207,1.811487191
2018-10-26,-4.564395772,-1.198703149,1.769498192
2018-10-27,-4.495727401,-1.161622014,1.720078423
2018-10-28,-4.500245847,-1.161392588,1.719738156
2018-10-29,-4.438497931,-1.115064935,1.659361514
2018-10-30,-4.493654739,-1.194077674,1.763882833
2018-10-31,-4.493654739,-1.194077674,1.763882833
2018-11-01,-4.493654739,-1.194077674,1.763882833
2018-11-02,-4.470972221,-1.181445913,1.746918872
2018-11-03,-4.538797875,-1.213749208,1.790636061
2018-11-04,-4.550023008,-1.215506221,1.793067128
2018-11-05,-4.326023345,-1.16222242,1.718296692
2018-11-06,-4.334503007,-1.165050889,1.721969961
2018-11-07,-4.334503007,-1.165050889,1.721969961
2018-11-08,-4.334503007,-1.165050889,1.721969961
2018-11-09,-4.330147274,-1.158654671,1.713534523
2018-11-10,-4.321586506,-1.148953794,1.700799379
