date,Intercept,beta1,beta2
2018-07-12,-7.179625,0.004949839,0.001821753
2018-07-13,-7.053553,-0.080547686,0.098339751
2018-07-14,-6.980852,-0.075219892,0.102450682
2018-07-15,-6.984363,-0.073492257,0.100949222
2018-07-16,-6.973722,-0.064460262,0.091198609
2018-07-17,-6.953609,-0.086888968,0.112864369
2018-07-18,-6.953609,-0.086888968,0.112864369
2018-07-19,-6.953609,-0.086888968,0.112864369
2018-07-20,-6.950643,-0.086162135,0.114564256
2018-07-21,-6.947949,-0.087139842,0.109600423
2018-07-22,-6.927825,-0.087810693,0.116280381
2018-07-23,-6.934358,-0.088311179,0.113837315
2018-07-24,-6.905285,-0.082190062,0.09432399
2018-07-25,-6.905285,-0.082190062,0.09432399
2018-07-26,-6.905285,-0.082190062,0.09432399
2018-07-27,-6.913913,-0.079149582,0.088993997
2018-07-28,-6.92219,-0.076988253,0.085269766
2018-07-29,-6.732236,-0.077386537,0.060445289
2018-07-30,-6.589916,-0.066780994,0.076872722
2018-07-31,-6.548333,-0.054903278,0.051976471
2018-08-01,-6.548333,-0.054903278,0.051976471
2018-08-02,-6.548333,-0.054903278,0.051976471
2018-08-03,-6.520031,-0.06810805,0.080020878
2018-08-04,-6.527396,-0.068705811,0.081204619
2018-08-05,-6.474893,-0.058376258,0.05797556
2018-08-06,-6.48203,-0.060036699,0.060941132
2018-08-07,-6.489289,-0.061684035,0.063894359
2018-08-08,-6.489289,-0.061684035,0.063894359
2018-08-09,-6.489289,-0.061684035,0.063894359
2018-08-10,-6.493002,-0.058425971,0.058175084
2018-08-11,-6.494544,-0.053695545,0.049846002
2018-08-12,-6.480477,-0.066791378,0.075640473
2018-08-13,-6.487263,-0.066743166,0.075613567
2018-08-14,-6.425446,-0.056585845,0.052460613
2018-08-15,-6.425446,-0.056585845,0.052460613
2018-08-16,-6.425446,-0.056585845,0.052460613
2018-08-17,-6.414496,-0.04928702,0.039048851
2018-08-18,-6.236935,-0.0755126,0.064276686
2018-08-19,-6.244198,-0.075575531,0.064548509
2018-08-20,-6.166653,-0.079166792,0.066001843
2018-08-21,-6.066345,-0.07863677,0.061837716
2018-08-22,-6.066345,-0.07863677,0.061837716
2018-08-23,-6.066345,-0.07863677,0.061837716
2018-08-24,-6.048272,-0.023946229,0.001458832
2018-08-25,-6.052084,-0.023827258,0.001286226
2018-08-26,-6.0293,-0.005647276,-0.011746407
2018-08-27,-6.056067,-0.024989027,0.023477184
2018-08-28,-5.961959,-0.006066222,-0.008505612
2018-08-29,-5.961959,-0.006066222,-0.008505612
2018-08-30,-5.961959,-0.006066222,-0.008505612
2018-08-31,-5.836738,0.000366499,-0.023053645
2018-09-01,-5.840502,0.000572169,-0.023360394
2018-09-02,-5.863348,-0.006298093,-0.010425027
2018-09-03,-5.832376,0.001127257,-0.022299659
2018-09-04,-5.83342,0.002172756,-0.023907261
2018-09-05,-5.83342,0.002172756,-0.023907261
2018-09-06,-5.83342,0.002172756,-0.023907261
2018-09-07,-5.83944,0.002073831,-0.023724548
2018-09-08,-5.869487,-0.009668322,-0.001943392
2018-09-09,-5.872551,-0.00856829,-0.003607539
2018-09-10,-5.794446,0.004381257,-0.025075803
2018-09-11,-5.775178,0.00826449,-0.031192242
2018-09-12,-5.775178,0.00826449,-0.031192242
2018-09-13,-5.775178,0.00826449,-0.031192242
2018-09-14,-5.698648,0.003111585,-0.025410859
2018-09-15,-5.718704,0.016959084,-0.039894733
2018-09-16,-5.762036,0.000572185,-0.013318711
2018-09-17,-5.734781,0.010293125,-0.027970897
2018-09-18,-5.651149,0.022272922,-0.047079191
2018-09-19,-5.651149,0.022272922,-0.047079191
2018-09-20,-5.651149,0.022272922,-0.047079191
2018-09-21,-5.662491,0.020965926,-0.045109584
2018-09-22,-5.655757,0.02293813,-0.04802889
2018-09-23,-5.590527,0.020162247,-0.044928246
2018-09-24,-5.61513,0.021753744,-0.046962442
2018-09-25,-5.554838,0.015074178,-0.038076645
2018-09-26,-5.554838,0.015074178,-0.038076645
2018-09-27,-5.554838,0.015074178,-0.038076645
2018-09-28,-5.554838,0.015074178,-0.038076645
2018-09-29,-5.554838,0.015074178,-0.038076645
2018-09-30,-5.567767,0.01633347,-0.039860964
2018-10-01,-5.600105,0.021542383,-0.046254186
2018-10-02,-5.639759,0.014464172,-0.034779863
2018-10-03,-5.639759,0.014464172,-0.034779863
2018-10-04,-5.639759,0.014464172,-0.034779863
2018-10-05,-5.719581,0.008000527,-0.013974139
2018-10-06,-5.735824,0.005407761,-0.010104889
2018-10-07,-5.766781,-0.000514452,-0.001203939
2018-10-08,-5.684937,0.015778781,-0.025773836
2018-10-09,-5.684937,0.015778781,-0.025773836
2018-10-10,-5.684937,0.015778781,-0.025773836
2018-10-11,-5.684937,0.015778781,-0.025773836
2018-10-12,-5.590836,0.03677631,-0.056798926
2018-10-13,-5.626416,0.025653126,-0.040730169
2018-10-14,-5.66181,0.015604348,-0.026095297
2018-10-15,-5.59446,0.032799877,-0.051215365
2018-10-16,-5.568007,0.041753054,-0.06397723
2018-10-17,-5.568007,0.041753054,-0.06397723
2018-10-18,-5.568007,0.041753054,-0.06397723
2018-10-19,-5.570151,0.042804356,-0.065438429
2018-10-20,-5.259931,-0.017223946,0.007286091
2018-10-21,-5.024791,-0.087545245,0.095680588
2018-10-22,-5.039412,-0.085079495,0.092621383
2018-10-23,-5.0822,-0.066408924,0.069171535
2018-10-24,-5.0822,-0.066408924,0.069171535
2018-10-25,-5.0822,-0.066408924,0.069171535
2018-10-26,-5.008571,-0.085690027,0.09332495
2018-10-27,-4.941924,-0.098720086,0.109013741
2018-10-28,-4.946717,-0.098613755,0.108884648
2018-10-29,-4.868438,-0.107375572,0.11805024
2018-10-30,-4.926387,-0.073772023,0.079183727
2018-10-31,-4.926387,-0.073772023,0.079183727
2018-11-01,-4.926387,-0.073772023,0.079183727
2018-11-02,-4.908359,-0.078526181,0.085182188
2018-11-03,-4.956067,-0.062486687,0.064900002
2018-11-04,-4.965494,-0.061320498,0.063415188
2018-11-05,-4.75034,-0.11232482,0.125726202
2018-11-06,-4.759365,-0.111674853,0.125009015
2018-11-07,-4.759365,-0.111674853,0.125009015
2018-11-08,-4.759365,-0.111674853,0.125009015
2018-11-09,-4.754526,-0.112601753,0.125975597
2018-11-10,-4.744446,-0.113855848,0.127208051
2018-11-11,-4.717036,-0.115919578,0.128924285
2018-11-12,-4.756553,-0.112497673,0.125826368
2018-11-13,-4.680329,-0.118961031,0.131864474
2018-11-14,-4.680329,-0.118961031,0.131864474
2018-11-15,-4.680329,-0.118961031,0.131864474
2018-11-16,-4.694431,-0.118585915,0.131777631
2018-11-17,-4.693681,-0.118586303,0.131596304
2018-11-18,-4.747214,-0.113306256,0.126874294
2018-11-19,-4.730496,-0.115172761,0.128754785
2018-11-20,-4.694552,-0.117687147,0.130837838
2018-11-21,-4.694552,-0.117687147,0.130837838
2018-11-22,-4.694552,-0.117687147,0.130837838
2018-11-23,-4.642103,-0.119064659,0.130619614
2018-11-24,-4.739652,-0.071610094,0.07735405
2018-11-25,-4.815432,-0.046846015,0.04594117
2018-11-26,-4.711766,-0.070121494,0.075461321
2018-11-27,-4.66568,-0.079077519,0.08668083
2018-11-28,-4.66568,-0.079077519,0.08668083
2018-11-29,-4.66568,-0.079077519,0.08668083
2018-11-30,-4.640309,-0.083521259,0.092149236
2018-12-01,-4.62748,-0.085736626,0.094822967
2018-12-02,-4.626421,-0.086333107,0.095530253
2018-12-03,-4.636469,-0.085551316,0.094594051
2018-12-04,-4.574052,-0.092532561,0.102606417
2018-12-05,-4.574052,-0.092532561,0.102606417
2018-12-06,-4.574052,-0.092532561,0.102606417
2018-12-07,-4.509004,-0.096670412,0.106458913
2018-12-08,-4.519179,-0.096397056,0.106277825
2018-12-09,-4.529375,-0.096095225,0.106053028
2018-12-10,-4.468501,-0.097633184,0.106293628
2018-12-11,-4.318202,-0.09792652,0.101448104
2018-12-12,-4.318202,-0.09792652,0.101448104
2018-12-13,-4.318202,-0.09792652,0.101448104
2018-12-14,-4.376661,-0.101333533,0.108532382
2018-12-15,-4.478777,-0.095674466,0.105951648
2018-12-16,-4.46272,-0.096412665,0.10646531
2018-12-17,-4.507238,-0.093977987,0.104275982
2018-12-18,-4.498325,-0.094670592,0.104929762
2018-12-19,-4.498325,-0.094670592,0.104929762
2018-12-20,-4.498325,-0.094670592,0.104929762
2018-12-21,-4.640517,-0.025524084,0.021613703
2018-12-22,-4.705455,-0.011045401,0.002542286
2018-12-23,-4.527789,-0.048218476,0.050281917
2018-12-24,-4.395059,-0.0705857,0.078379516
2018-12-25,-4.395059,-0.0705857,0.078379516
2018-12-26,-4.395059,-0.0705857,0.078379516
2018-12-27,-4.395059,-0.0705857,0.078379516
2018-12-28,-4.436889,-0.064849098,0.071173817
2018-12-29,-4.370794,-0.073978596,0.082493544
2018-12-30,-4.275715,-0.083674204,0.093823774
2018-12-31,-4.275715,-0.083674204,0.093823774
2019-01-01,-4.275715,-0.083674204,0.093823774
2019-01-02,-4.275715,-0.083674204,0.093823774
2019-01-03,-4.275715,-0.083674204,0.093823774
2019-01-04,-4.335026,-0.078097305,0.087431641
2019-01-05,-4.359456,-0.075806093,0.084659624
2019-01-06,-4.272178,-0.084624098,0.094964328
2019-01-07,-4.191785,-0.089275024,0.099488946
2019-01-08,-3.973202,-0.098390498,0.105405182
2019-01-09,-3.973202,-0.098390498,0.105405182
2019-01-10,-3.973202,-0.098390498,0.105405182
