date,Intercept,beta1,beta2
2018-07-12,-64.77490663,0.082459818,-0.13805699
2018-07-13,-65.25733611,0.079861648,-0.134694405
2018-07-14,-64.63665237,0.083677876,-0.139534647
2018-07-15,-71.0668606,0.076912261,-0.117362564
2018-07-16,-70.33791286,0.084469447,-0.129481206
2018-07-17,-70.85947444,0.07981242,-0.122002593
2018-07-18,-70.85947444,0.07981242,-0.122002593
2018-07-19,-70.85947444,0.07981242,-0.122002593
2018-07-20,-72.23208189,0.065616333,-0.098184954
2018-07-21,-69.57938495,0.088626756,-0.136179535
2018-07-22,-67.51011039,0.102847742,-0.156691418
2018-07-23,-69.44193651,0.088960981,-0.136483783
2018-07-24,-68.30143267,0.098021188,-0.149831883
2018-07-25,-68.30143267,0.098021188,-0.149831883
2018-07-26,-68.30143267,0.098021188,-0.149831883
2018-07-27,-67.29170395,0.10487429,-0.15918593
2018-07-28,-68.9650992,0.093398329,-0.142922668
2018-07-29,-69.51351985,0.089156167,-0.136486608
2018-07-30,-62.57776187,0.09810601,-0.146569929
2018-07-31,-59.79151096,0.104291903,-0.151925395
2018-08-01,-59.79151096,0.104291903,-0.151925395
2018-08-02,-59.79151096,0.104291903,-0.151925395
2018-08-03,-62.0058371,0.0994477,-0.147899089
2018-08-04,-61.61249237,0.100648379,-0.149022406
2018-08-05,-60.74010198,0.103060573,-0.151253849
2018-08-06,-62.87837251,0.097850308,-0.146570613
2018-08-07,-58.78028352,0.104566044,-0.151380658
2018-08-08,-58.78028352,0.104566044,-0.151380658
2018-08-09,-58.78028352,0.104566044,-0.151380658
2018-08-10,-58.31922732,0.105641209,-0.152257684
2018-08-11,-60.24592873,0.101763608,-0.149169546
2018-08-12,-60.29250221,0.10169627,-0.149059459
2018-08-13,-60.33916559,0.101628791,-0.148949144
2018-08-14,-60.38591915,0.101561172,-0.148838599
2018-08-15,-60.38591915,0.101561172,-0.148838599
2018-08-16,-60.38591915,0.101561172,-0.148838599
2018-08-17,-60.19448011,0.102090662,-0.149275324
2018-08-18,-57.35315463,0.107385109,-0.153382888
2018-08-19,-59.59588929,0.103383857,-0.150472999
2018-08-20,-55.18908915,0.108328068,-0.152629712
2018-08-21,-57.09316918,0.10542302,-0.150713656
2018-08-22,-57.09316918,0.10542302,-0.150713656
2018-08-23,-57.09316918,0.10542302,-0.150713656
2018-08-24,-55.75008208,0.107912344,-0.152615938
2018-08-25,-60.42451709,0.106591289,-0.15623688
2018-08-26,-59.50122269,0.109254639,-0.158713786
2018-08-27,-61.35683965,0.104361664,-0.154205866
2018-08-28,-61.40582176,0.104283361,-0.15407635
2018-08-29,-61.40582176,0.104283361,-0.15407635
2018-08-30,-61.40582176,0.104283361,-0.15407635
2018-08-31,-50.96915976,0.054760086,-0.079144951
2018-09-01,-51.60686414,0.055827758,-0.080767452
2018-09-02,-44.17202924,0.011594154,-0.022844629
2018-09-03,-40.61590397,-0.009020483,0.001969941
2018-09-04,-44.92889008,0.019878244,-0.033187665
2018-09-05,-44.92889008,0.019878244,-0.033187665
2018-09-06,-44.92889008,0.019878244,-0.033187665
2018-09-07,-42.51285299,0.007975407,-0.018514417
2018-09-08,-46.12541723,0.028314524,-0.043893527
2018-09-09,-46.16289238,0.028291024,-0.043847878
2018-09-10,-46.85508373,0.030778053,-0.047053777
2018-09-11,-47.54104502,0.033131946,-0.050124791
2018-09-12,-47.54104502,0.033131946,-0.050124791
2018-09-13,-47.54104502,0.033131946,-0.050124791
2018-09-14,-44.8566853,0.021649855,-0.035355243
2018-09-15,-44.2078348,0.018687128,-0.031635131
2018-09-16,-42.48561093,0.010385192,-0.021419608
2018-09-17,-45.19054578,0.024307038,-0.038683755
2018-09-18,-43.84392371,0.018326807,-0.03117511
2018-09-19,-43.84392371,0.018326807,-0.03117511
2018-09-20,-43.84392371,0.018326807,-0.03117511
2018-09-21,-42.82904827,0.013529339,-0.025257
2018-09-22,-38.43529958,-0.016676496,0.010940705
2018-09-23,-42.86486877,0.017345236,-0.029967371
2018-09-24,-43.59109966,0.020538947,-0.033908343
2018-09-25,-42.57185879,0.015652561,-0.027852324
2018-09-26,-42.57185879,0.015652561,-0.027852324
2018-09-27,-42.57185879,0.015652561,-0.027852324
2018-09-28,-42.57185879,0.015652561,-0.027852324
2018-09-29,-42.57185879,0.015652561,-0.027852324
2018-09-30,-46.51077711,0.037844692,-0.056022334
2018-10-01,-45.53215959,0.034281615,-0.05133246
2018-10-02,-45.90600886,0.035462028,-0.052857883
2018-10-03,-45.90600886,0.035462028,-0.052857883
2018-10-04,-45.90600886,0.035462028,-0.052857883
2018-10-05,-44.91594359,0.031682941,-0.04794458
2018-10-06,-43.5560641,0.026034385,-0.040756097
2018-10-07,-46.5539114,0.039784691,-0.058456854
2018-10-08,-45.5709029,0.036341434,-0.053900843
2018-10-09,-45.5709029,0.036341434,-0.053900843
2018-10-10,-45.5709029,0.036341434,-0.053900843
2018-10-11,-45.5709029,0.036341434,-0.053900843
2018-10-12,-45.94646323,0.037481384,-0.055381314
2018-10-13,-48.55406807,0.046938009,-0.068079055
2018-10-14,-47.59951572,0.04419519,-0.064273217
2018-10-15,-47.63868975,0.044158543,-0.064211261
2018-10-16,-45.97390269,0.038752896,-0.056952739
2018-10-17,-45.97390269,0.038752896,-0.056952739
2018-10-18,-45.97390269,0.038752896,-0.056952739
2018-10-19,-45.3255681,0.036403459,-0.053857473
2018-10-20,-38.31095138,-0.030781939,0.02908895
2018-10-21,-37.23310443,-0.041342294,0.041432363
2018-10-22,-41.72321819,0.006820679,-0.016352669
2018-10-23,-42.46304824,0.011240975,-0.021779048
2018-10-24,-42.46304824,0.011240975,-0.021779048
2018-10-25,-42.46304824,0.011240975,-0.021779048
2018-10-26,-40.31816762,-0.003874801,-0.003289005
2018-10-27,-39.62573878,-0.009332575,0.003281566
2018-10-28,-41.76990976,0.006879657,-0.016365245
2018-10-29,-42.51212344,0.01133225,-0.021834753
2018-10-30,-39.98572616,-0.007292419,0.000922257
2018-10-31,-39.98572616,-0.007292419,0.000922257
2018-11-01,-39.98572616,-0.007292419,0.000922257
2018-11-02,-41.44185367,0.003400259,-0.012020113
2018-11-03,-52.43415274,0.202429122,-0.279712903
2018-11-04,-53.68831831,0.192859998,-0.269065507
2018-11-05,-54.03628942,0.190345941,-0.266180621
2018-11-06,-53.15114003,0.197503733,-0.274186458
2018-11-07,-53.15114003,0.197503733,-0.274186458
2018-11-08,-53.15114003,0.197503733,-0.274186458
2018-11-09,-51.2762357,0.212467236,-0.290648237
2018-11-10,-51.94540043,0.207325084,-0.28500018
2018-11-11,-54.66441561,0.187216665,-0.262899781
2018-11-12,-55.0120035,0.184705581,-0.259966654
2018-11-13,-53.17587327,0.199288346,-0.276500125
2018-11-14,-53.17587327,0.199288346,-0.276500125
2018-11-15,-53.17587327,0.199288346,-0.276500125
2018-11-16,-51.94589411,0.209389015,-0.287686367
2018-11-17,-54.96122969,0.186961917,-0.262974725
2018-11-18,-53.43857659,0.199394117,-0.277141913
2018-11-19,-57.20835423,0.171837161,-0.245799344
2018-11-20,-57.55157638,0.169321054,-0.242699008
2018-11-21,-57.55157638,0.169321054,-0.242699008
2018-11-22,-57.55157638,0.169321054,-0.242699008
2018-11-23,-55.44910569,0.186315522,-0.262925739
2018-11-24,-57.53773377,0.169875299,-0.243403881
2018-11-25,-56.06142732,0.182060454,-0.257996047
2018-11-26,-60.49511611,0.149397792,-0.218072339
2018-11-27,-59.67638708,0.156486005,-0.22718234
2018-11-28,-59.67638708,0.156486005,-0.22718234
2018-11-29,-59.67638708,0.156486005,-0.22718234
2018-11-30,-58.54363791,0.166148047,-0.239345075
2018-12-01,-55.48158761,0.191098807,-0.269493065
2018-12-02,-58.1449133,0.169475633,-0.243535521
2018-12-03,-56.35106413,0.184768626,-0.262158145
2018-12-04,-58.1644269,0.169774727,-0.243880149
2018-12-05,-58.1644269,0.169774727,-0.243880149
2018-12-06,-58.1644269,0.169774727,-0.243880149
2018-12-07,-59.38287983,0.159792136,-0.231277056
2018-12-08,-50.45867807,0.207738373,-0.283951591
2018-12-09,-59.33558113,0.173693869,-0.250199148
2018-12-10,-56.58000903,0.200577461,-0.284599506
2018-12-11,-56.32307949,0.203499285,-0.288165031
2018-12-12,-56.32307949,0.203499285,-0.288165031
2018-12-13,-56.32307949,0.203499285,-0.288165031
2018-12-14,-50.381979,0.25831964,-0.351859657
2018-12-15,-54.03646676,0.222403913,-0.311080492
2018-12-16,-55.91405311,0.203413407,-0.287934651
