date,Intercept,beta1,beta2
2018-07-12,-10.682634,1.1572016,-1.3292602
2018-07-13,-11.953659,0.7956363,-0.9345694
2018-07-14,-9.237357,1.0348678,-1.1720158
2018-07-15,-9.525525,0.8626618,-0.9826764
2018-07-16,-8.50019,0.9665153,-1.0815841
2018-07-17,-8.558494,1.0293219,-1.1513884
2018-07-18,-8.558494,1.0293219,-1.1513884
2018-07-19,-8.558494,1.0293219,-1.1513884
2018-07-20,-8.998011,0.9468741,-1.0689489
2018-07-21,-8.728303,0.9448343,-1.0610776
2018-07-22,-8.488723,0.907473,-1.0136404
2018-07-23,-8.120006,0.9652643,-1.0700227
2018-07-24,-8.274871,1.047286,-1.1625882
2018-07-25,-8.274871,1.047286,-1.1625882
2018-07-26,-8.274871,1.047286,-1.1625882
2018-07-27,-8.906016,0.9616318,-1.0821923
2018-07-28,-8.869055,1.0765,-1.2066295
2018-07-29,-9.713883,1.0290208,-1.1712174
2018-07-30,-9.963337,0.9827471,-1.1233733
2018-07-31,-9.811617,1.0595941,-1.2058682
2018-08-01,-9.811617,1.0595941,-1.2058682
2018-08-02,-9.811617,1.0595941,-1.2058682
2018-08-03,-10.322908,0.9724491,-1.1164457
2018-08-04,-9.932322,0.976423,-1.1149212
2018-08-05,-9.710645,1.0297666,-1.1704877
2018-08-06,-10.04857,1.1036532,-1.2567011
2018-08-07,-10.970204,0.9540857,-1.1031043
2018-08-08,-10.970204,0.9540857,-1.1031043
2018-08-09,-10.970204,0.9540857,-1.1031043
2018-08-10,-10.260738,0.9891031,-1.1330853
2018-08-11,-9.974352,0.8966938,-1.0235765
2018-08-12,-9.101267,0.9835751,-1.1069775
2018-08-13,-9.112117,0.9840931,-1.1074031
2018-08-14,-9.14181,1.0086022,-1.134764
2018-08-15,-9.14181,1.0086022,-1.134764
2018-08-16,-9.14181,1.0086022,-1.134764
2018-08-17,-9.333504,0.9905477,-1.1180402
2018-08-18,-9.321079,0.9604337,-1.0837979
2018-08-19,-9.05253,0.9159988,-1.0283315
2018-08-20,-8.484268,0.8193419,-0.9058259
2018-08-21,-7.586179,0.8699276,-0.9427238
2018-08-22,-7.586179,0.8699276,-0.9427238
2018-08-23,-7.586179,0.8699276,-0.9427238
2018-08-24,-7.349378,0.9851435,-1.064926
2018-08-25,-7.725951,0.9458103,-1.0313301
2018-08-26,-7.857079,1.0050365,-1.099482
2018-08-27,-8.257104,0.9472388,-1.0451177
2018-08-28,-8.184792,0.8939186,-0.9829778
2018-08-29,-8.184792,0.8939186,-0.9829778
2018-08-30,-8.184792,0.8939186,-0.9829778
2018-08-31,-7.913084,1.0014764,-1.0959489
2018-09-01,-8.250298,0.9087837,-1.0006376
2018-09-02,-7.984546,0.9243198,-1.011487
2018-09-03,-7.852321,0.8932221,-0.9726513
2018-09-04,-7.628418,0.9418196,-1.0211927
2018-09-05,-7.628418,0.9418196,-1.0211927
2018-09-06,-7.628418,0.9418196,-1.0211927
2018-09-07,-7.754058,0.996055,-1.0839887
2018-09-08,-8.094815,0.922176,-1.0101565
2018-09-09,-7.978699,0.968322,-1.0584615
2018-09-10,-8.158195,0.9811388,-1.0766211
2018-09-11,-8.380778,0.9890043,-1.0901612
2018-09-12,-8.380778,0.9890043,-1.0901612
2018-09-13,-8.380778,0.9890043,-1.0901612
2018-09-14,-8.616566,1.0029626,-1.1104976
2018-09-15,-8.872376,0.9744812,-1.084078
2018-09-16,-8.811601,0.8828519,-0.9790028
2018-09-17,-8.226279,0.9135951,-1.0008541
2018-09-18,-8.023693,0.9573322,-1.0446385
2018-09-19,-8.023693,0.9573322,-1.0446385
2018-09-20,-8.023693,0.9573322,-1.0446385
2018-09-21,-8.075581,0.9078954,-0.9899686
2018-09-22,-7.8484,0.9118291,-0.9883263
2018-09-23,-7.708576,0.9191529,-0.9925034
2018-09-24,-7.659706,0.9432078,-1.0177484
2018-09-25,-7.726863,0.9201412,-0.9931858
2018-09-26,-7.726863,0.9201412,-0.9931858
2018-09-27,-7.726863,0.9201412,-0.9931858
2018-09-28,-7.726863,0.9201412,-0.9931858
2018-09-29,-7.726863,0.9201412,-0.9931858
2018-09-30,-7.642918,0.8966474,-0.9638913
2018-10-01,-7.484611,0.9228152,-0.9886908
2018-10-02,-7.503498,0.9368839,-1.0045544
2018-10-03,-7.503498,0.9368839,-1.0045544
2018-10-04,-7.503498,0.9368839,-1.0045544
2018-10-05,-7.588518,0.9406902,-1.010708
2018-10-06,-7.71516,0.9964199,-1.0754696
2018-10-07,-8.139489,1.0303834,-1.1232624
2018-10-08,-8.658044,0.9875573,-1.0883235
2018-10-09,-8.658044,0.9875573,-1.0883235
2018-10-10,-8.658044,0.9875573,-1.0883235
2018-10-11,-8.658044,0.9875573,-1.0883235
2018-10-12,-8.748793,0.9201052,-1.0142547
2018-10-13,-8.494393,1.0312618,-1.1318495
2018-10-14,-8.974114,1.0103036,-1.1193145
2018-10-15,-9.185774,0.9664352,-1.0744284
2018-10-16,-9.122986,1.0515489,-1.1670217
2018-10-17,-9.122986,1.0515489,-1.1670217
2018-10-18,-9.122986,1.0515489,-1.1670217
2018-10-19,-9.63117,0.9983871,-1.1180922
2018-10-20,-9.606659,0.9529251,-1.066143
2018-10-21,-9.344355,1.0526213,-1.1717784
2018-10-22,-9.829713,1.0103751,-1.1340791
2018-10-23,-9.860644,0.966451,-1.0848989
2018-10-24,-9.860644,0.966451,-1.0848989
2018-10-25,-9.860644,0.966451,-1.0848989
2018-10-26,-9.542943,0.9515529,-1.0619742
2018-10-27,-9.18924,0.934615,-1.0356302
2018-10-28,-8.886735,1.015375,-1.1192509
2018-10-29,-9.115139,0.9389602,-1.0382927
2018-10-30,-8.886091,1.0463869,-1.1525059
2018-10-31,-8.886091,1.0463869,-1.1525059
2018-11-01,-8.886091,1.0463869,-1.1525059
2018-11-02,-9.359977,0.9792111,-1.0878128
2018-11-03,-9.259821,0.9634235,-1.0676803
2018-11-04,-9.056566,0.93742,-1.0337994
2018-11-05,-8.782409,0.9875965,-1.0838062
2018-11-06,-8.843081,0.9372655,-1.028266
2018-11-07,-8.843081,0.9372655,-1.028266
2018-11-08,-8.843081,0.9372655,-1.028266
2018-11-09,-8.580915,0.9348616,-1.0192711
2018-11-10,-8.406383,0.9750023,-1.0597537
2018-11-11,-8.439087,0.895685,-0.9706379
2018-11-12,-7.998572,0.8555683,-0.9134195
2018-11-13,-7.546234,0.9185667,-0.972594
2018-11-14,-7.546234,0.9185667,-0.972594
2018-11-15,-7.546234,0.9185667,-0.972594
2018-11-16,-7.469563,0.8502643,-0.8918454
2018-11-17,-7.23057,1.0055007,-1.0591623
2018-11-18,-7.685021,0.9317066,-0.9901501
2018-11-19,-7.678255,0.9104801,-0.9654588
2018-11-20,-7.603165,0.949046,-1.0063249
2018-11-21,-7.603165,0.949046,-1.0063249
2018-11-22,-7.603165,0.949046,-1.0063249
2018-11-23,-7.658671,0.8591637,-0.9052887
2018-11-24,-7.340583,0.922583,-0.9679208
2018-11-25,-7.403409,0.946837,-0.996598
2018-11-26,-7.515034,0.8881062,-0.9328767
2018-11-27,-7.377363,0.9387592,-0.9857414
2018-11-28,-7.377363,0.9387592,-0.9857414
2018-11-29,-7.377363,0.9387592,-0.9857414
2018-11-30,-7.461467,0.8927422,-0.9355677
2018-12-01,-7.314281,0.8777433,-0.9134577
2018-12-02,-7.128768,0.8522022,-0.8777368
2018-12-03,-6.908675,0.8696753,-0.89022
2018-12-04,-6.773971,0.7973913,-0.8009859
2018-12-05,-6.773971,0.7973913,-0.8009859
2018-12-06,-6.773971,0.7973913,-0.8009859
2018-12-07,-6.457168,0.848094,-0.8486531
2018-12-08,-6.410444,0.8613135,-0.861753
2018-12-09,-6.418275,0.8618222,-0.8620211
2018-12-10,-6.440683,0.8875211,-0.8919513
2018-12-11,-6.50154,0.8178231,-0.8124599
2018-12-12,-6.50154,0.8178231,-0.8124599
2018-12-13,-6.50154,0.8178231,-0.8124599
2018-12-14,-6.368459,0.8990446,-0.901529
2018-12-15,-6.50634,0.8591934,-0.8598022
2018-12-16,-6.458002,0.8141193,-0.8047741
2018-12-17,-6.34055,0.9213909,-0.9244647
2018-12-18,-6.568625,0.8792186,-0.8835377
