"","시장구분","종목코드","종목명","산업분류","시가총액(원)"
"1","코스피","030720","동원수산","어업",44257685550
"2","코스피","007160","사조산업","어업",2.9e+11
"3","코스피","004970","신라교역","어업",2.24e+11
"4","코스피","000080","하이트진로","음식료품",1213311470300
"5","코스피","097955","CJ제일제당 우","음식료품",172566290000
"6","코스피","097950","CJ제일제당","음식료품",5028098124000
"7","코스피","079660","사조해표","음식료품",7.6254e+10
"8","코스피","006980","우성사료","음식료품",8.7756e+10
"9","코스피","016090","대현","섬유의복",118233767700
"10","코스피","016590","신대양제지","종이목재",273622197800
"11","코스피","006740","영풍제지","종이목재",7.9476e+10
"12","코스피","004545","깨끗한나라우","종이목재",7378124000
"13","코스피","004540","깨끗한나라","종이목재",127549373525
"14","코스피","272550","삼양패키징","화학",275670197600
"15","코스피","192820","코스맥스","화학",1432055032500
"16","코스피","081000","일진다이아","화학",429126948750
"17","코스피","069260","휴켐스","화학",917724300600
"18","코스피","025000","KPX케미칼","화학",2.65716e+11
"19","코스피","024890","대원화성","화학",80435846400
"20","코스피","006650","대한유화","화학",1.196e+12
"21","코스피","006060","화승인더","화학",413793600000
"22","코스피","005950","이수화학","화학",155071700000
"23","코스피","004910","조광페인트","화학",9.6384e+10
"24","코스피","068270","셀트리온","의약품",26973068595000
"25","코스피","271980","제일약품","의약품",680100330000
"26","코스피","234080","JW생명과학","의약품",375278929800
"27","코스피","016580","환인제약","의약품",349681316000
"28","코스피","004310","현대약품","의약품",1.664e+11
"29","코스피","006040","동원산업","어업",763446400000
"30","코스피","005420","코스모화학","화학",273248590500
"31","코스피","000390","삼화페인트","화학",178197181740
"32","코스피","000050","경방","섬유의복",312534078000
"33","코스피","025860","남해화학","화학",690535917700
"34","코스피","004255","NPC우","화학",11827200000
"35","코스피","004250","NPC","화학",1.48716e+11
"36","코스피","003680","한성기업","음식료품",37502064720
"37","코스피","003610","방림","섬유의복",103881090950
"38","코스피","003720","삼영화학","화학",2.7778e+10
"39","코스피","003650","미창석유","화학",134824580000
"40","코스피","280360","롯데제과","음식료품",1084425173000
"41","코스피","271560","오리온","음식료품",4487350982000
"42","코스피","006090","사조오양","음식료품",91683250470
"43","코스피","26490K","크라운제과우","음식료품",6265836000
"44","코스피","264900","크라운제과","음식료품",137762350000
"45","코스피","101530","해태제과식품","음식료품",331931770800
"46","코스피","014710","사조씨푸드","음식료품",118635761270
"47","코스피","014825","동원시스템즈우","화학",5466374800
"48","코스피","014830","유니드","화학",411155238750
"49","코스피","014680","한솔케미칼","화학",1030121784000
"50","코스피","145995","삼양사우","음식료품",14506744000
"51","코스피","145990","삼양사","음식료품",666779234400
"52","코스피","000087","하이트진로2우B","음식료품",16556521700
"53","코스피","136490","선진","음식료품",272276465800
"54","코스피","033920","무학","음식료품",4.3035e+11
"55","코스피","011155","CJ씨푸드1우","음식료품",5.72e+09
