"","종목코드","PER","PBR","배당수익률"
"1","000250","68.61","7.3",0.1
"2","000440","23.28","1.1",2.2
"3","001000","144.12","4.22",0
"4","001540","15.38","1.04",2.01
"5","001810","5.93","0.32",1.25
"6","001840","107.59","4.16",0.45
"7","002230","7.96","0.66",1.54
"8","002290","16.5","0.81",2.55
"9","002680","61.2","1.23",0
"10","002800","32.12","2.29",0.42
"11","003100","19.88","0.4",1.9
"12","003310","21.17","1.14",1.84
"13","003380","5","0.66",1.42
"14","003670","39.82","6.4",0.5
"15","003800","9.87","0.77",2.42
"16","004590","12.09","0.71",2.38
"17","004650","23.13","1.17",4.32
"18","004780","9.11","0.88",1.81
"19","005160","7.18","0.4",5.45
"20","005290","11.17","1.96",0.9
"21","005670","22.26","1.33",1.03
"22","005710","3.5","0.47",2.11
"23","005860","42.6","1.25",1.22
"24","005990","181.45","0.61",0.89
"25","006050","38.84","1.11",0
"26","006140","11.68","0.69",5.87
"27","006580","-","1.08",0.74
"28","006620","14.84","4.44",0
"29","006730","-","0.96",0
"30","006910","-","1.68",0
"31","006920","39.81","3.3",0
"32","007330","4.53","0.51",7.08
"33","007370","-","1.13",2.5
"34","007390","1,420","17.64",0
"35","007530","-","0.68",0
"36","007680","5.56","0.57",1.6
"37","007720","28.06","2.95",0
"38","007770","12.25","0.45",1.29
"39","007820","-","3.12",0.42
"40","008290","1,680","4.27",0
"41","008370","21.32","0.64",4.22
"42","008470","10.31","0.69",1.58
"43","008800","-","1.31",0
"44","008830","370.62","0.44",0.84
"45","009300","18.93","0.73",1.39
"46","009620","-","0.87",0
"47","009730","21.03","3.23",0
"48","009780","11.29","1.79",1.39
"49","010170","21.32","3.53",0
"50","011370","2.67","0.72",1.95
"51","009520","41.39","4.96",0.76
"52","011320","48.64","1.95",0
"53","010240","13.53","1.7",3.28
"54","010280","-","2.1",0
"55","010470","16.63","0.97",3.59
"56","011040","12.61","1.32",3.64
"57","011080","-","1.07",0
"58","011560","4.76","0.86",2.22
"59","012340","-","3.15",0
"60","012620","5.88","0.41",1.04
"61","012700","4.2","0.48",3.5
